symbol,tf,direction,zone,trigger,rr,rsi,k,tol,ma,trades,winrate,avg_r,pf,risk_pct,net_avg_r,net_pf,h1_avg_r,h2_avg_r,q_pos,win_pos
US100,M30,long,FIB,candle+macd,4.0,14,3,1.0,200,33,0.5151515151515151,1.4651454056695994,4.021862399193549,0.0019596153963602325,1.2771933149171086,3.247824715077496,1.1428571428571428,1.702620967741936,7,26/30
US100,M30,long,SR+FIB,candle+macd,4.0,14,3,1.0,200,31,0.5161290322580645,1.4628967221644122,4.023319892473119,0.0020052107822959965,1.2731943462750472,3.2421358610055613,1.3076923076923077,1.5749887992831544,7,26/30
XAUUSD,H2,long,none,macd,4.0,14,3,1.0,0,32,0.40625,1.03125,2.736842105263158,0.00457309888068796,0.9612412998615278,2.4983821402061133,0.6666666666666666,1.25,5,23/30
XAUUSD,M30,long,BB,candle+macd,3.5,9,5,0.5,0,33,0.45454545454545453,1.0454545454545454,2.9166666666666665,0.002652801223484785,0.9209986549418315,2.482252525684667,0.75,1.4,7,24/30
US100,M15,short,SR+BB+FIB,candle,4.0,14,5,1.0,0,33,0.42424242424242425,1.121212121212121,2.9473684210526314,0.0016784787179414118,0.9200581163651531,2.3313442818119112,1.3333333333333333,0.9444444444444444,8,26/30
XAUUSD,H2,long,none,candle+macd,4.0,9,3,1.0,0,41,0.3902439024390244,0.9512195121951219,2.56,0.005354319840770057,0.8911058890183765,2.3624723837878485,0.1111111111111111,1.608695652173913,6,22/30
US100,M15,short,BB+FIB,candle,4.0,14,5,1.0,0,34,0.4117647058823529,1.0588235294117647,2.8,0.001649814010639708,0.855228763561739,2.2070677365296376,1.1875,0.9444444444444444,8,26/30
US100,M15,short,SR+BB,candle,4.0,14,5,0.5,0,41,0.4146341463414634,1.0367906232747763,2.7711839814277432,0.001787670779183109,0.8346857322531102,2.187919294434682,0.9047619047619048,1.1754207777132915,8,24/30
XAUUSD,H4,long,none,candle,3.5,14,3,0.5,0,33,0.42424242424242425,0.8636824569027939,2.390421269107631,0.005529629269819753,0.8161806134471786,2.260325156610876,1.0769230769230769,0.7250760538896099,5,21/30
US100,M30,long,SR,candle+macd,4.0,14,3,0.5,200,62,0.4032258064516129,0.9273766998444212,2.553982578117679,0.0022151466485778016,0.7418933931623505,2.050953098881585,0.8518518518518519,0.985638725438689,7,26/30
